ID,VendorID,Vendor,AccountCode,AccountDescription,DocNo,Amount,Date,Source
14018,15050001,OLD ACTONIANS LFC - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012882,900.00,2011-08-09,339-2011-12-P5-500
14019,14000545,MATCHTECH GROUP PLC,502000,AGENCY STAFF,5107388463,1132.50,2011-08-09,290-2011-12-P5-500
14020,15050001,MR WEININGER IRWIN - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012884,1500.00,2011-08-09,234-2011-12-P5-500
14021,15050001,NOVA TRAMPOLINE CLUB - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012883,1500.00,2011-08-09,233-2011-12-P5-500
14022,10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5107395153,767.25,2011-08-09,363-2011-12-P5-500
14023,10006879,OVE ARUP & PARTNERS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107388325,2045.56,2011-08-09,164-2011-12-P5-500
14024,15050001,KIDS CITY - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012886,1491.90,2011-08-09,250-2011-12-P5-500
14025,15050001,LONDON SKOLARS - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012879,1290.00,2011-08-09,272-2011-12-P5-500
14026,10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5107384585,1027.25,2011-08-09,310-2011-12-P5-500
14027,10000319,KANTAR MEDIA INTELLIGENCE LIMITED,543000,CORPORATE SUBSCRIPTIONS,5107400162,638.00,2011-08-09,396-2011-12-P5-500
14028,12000241,INNOVATIVE OUTPUT SOLUTIONS (LONDON,533000,PRINTING,5107386663,2000.00,2011-08-09,169-2011-12-P5-500
14029,10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5107388468,754.43,2011-08-09,368-2011-12-P5-500
14030,15050001,LONDON BOROUGH OF NEWHAM - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012888,1500.00,2011-08-09,235-2011-12-P5-500
14031,10016524,TRANSPORT FOR LONDON,542300,LEGAL FEES,5107384108,36208.90,2011-08-09,27-2011-12-P5-500
14032,10015101,YOUNG VIC COMPANY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107397745,10000.00,2011-08-09,77-2011-12-P5-500
14033,10017003,TIME OUT,540050,MARKETING SERVICES,5107387539,15200.00,2011-08-09,58-2011-12-P5-500
14034,10008837,TRANSPORT AND TRAVEL RESEARCH LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107383718,1991.41,2011-08-09,171-2011-12-P5-500
14035,15050001,SURREY CANOE CLUB - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012887,1464.00,2011-08-09,253-2011-12-P5-500
14036,15050001,WIMBLEDON VOLLEYBALL CLUB - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012876,1280.44,2011-08-09,273-2011-12-P5-500
14037,14001111,STERIA,502000,AGENCY STAFF,5107388324,749.00,2011-08-09,374-2011-12-P5-500
14038,15050001,TRINITY AT BOWES METHODIST CHURCH - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012889,1500.00,2011-08-09,236-2011-12-P5-500
14039,10016524,TRANSPORT FOR LONDON,542300,LEGAL FEES,5107384110,350000.00,2011-08-09,9-2011-12-P5-500
14040,15050001,VOICE,540110,MARKETING EXHIBITIONS & EVENTS,1900012817,2922.00,2011-08-09,147-2011-12-P5-500
14041,10000057,THE STATIONERY OFFICE LTD,533000,PRINTING,5107386141,712.47,2011-08-09,381-2011-12-P5-500
14042,10016524,TRANSPORT FOR LONDON,542300,LEGAL FEES,5107384109,367200.00,2011-08-09,8-2011-12-P5-500
14043,10019494,BRAND FOUNDRY DESIGN,540200,MARKETING DESIGN & ARTWORK,5107400320,8004.00,2011-08-10,92-2011-12-P5-500
14044,10016705,BT,535250,MAINTENANCE OF TELECOMMUNICATIONS EQUIPMENT,1900012649,1234.59,2011-08-10,277-2011-12-P5-500
14045,10020648,CONSOL PARTNERS LTD,502000,AGENCY STAFF,5107400956,1525.00,2011-08-10,186-2011-12-P5-500
14046,10019298,ECIRCLE LTD,540050,MARKETING SERVICES,5107398115,681.76,2011-08-10,385-2011-12-P5-500
14047,10020648,CONSOL PARTNERS LTD,502000,AGENCY STAFF,5107400957,1525.00,2011-08-10,187-2011-12-P5-500
14048,10017884,I4C PUBLICITY LIMITED,532000,UNIFORMS,5107401128,765.00,2011-08-10,365-2011-12-P5-500
14049,10016709,BYWATERS (LEYTON) LIMITED,510710,NON RECYCLABLE WASTE DISPOSAL/REFUSE COLLECTION,5107399953,3779.52,2011-08-11,130-2011-12-P5-500
14050,10008226,EDENRED,504500,STAFF WELFARE BENEFITS,5107401056,9615.80,2011-08-11,80-2011-12-P5-500
14051,15050001,ASPIRE - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012957,1500.00,2011-08-11,246-2011-12-P5-500
14052,15050001,ACTIVE COMMUNITIES NETWORK LTD - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012962,1500.00,2011-08-11,247-2011-12-P5-500
14053,15050001,CROYDON HURRICANES - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012959,1470.00,2011-08-11,251-2011-12-P5-500
14054,15050001,GRANARD PRIMARY SCHOOL - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012954,600.00,2011-08-11,402-2011-12-P5-500
14055,15050001,FIGHT FOR CHANGE - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012953,1500.00,2011-08-11,244-2011-12-P5-500
14056,10016938,ICM RESEARCH LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107400841,5000.00,2011-08-11,108-2011-12-P5-500
14057,14000368,EURO RSCG RILEY LIMITED,504000,RECRUITMENT ADVERTISING,5107391627,960.96,2011-08-11,327-2011-12-P5-500
14058,10017875,GARY COX CONSULTING LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107397520,1000.00,2011-08-11,319-2011-12-P5-500
14059,14000368,EURO RSCG RILEY LIMITED,504000,RECRUITMENT ADVERTISING,5107391628,600.60,2011-08-11,401-2011-12-P5-500
14060,15050001,GREENWICH LEISURE LTD - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012963,1500.00,2011-08-11,248-2011-12-P5-500
14061,14000368,EURO RSCG RILEY LIMITED,504000,RECRUITMENT ADVERTISING,5107391625,600.60,2011-08-11,400-2011-12-P5-500
14062,10016938,ICM RESEARCH LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107400841,-1000.00,2011-08-11,427-2011-12-P5-500
14063,15050001,SAXON CROWN SWIMMING CLUB - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012958,1035.00,2011-08-11,307-2011-12-P5-500
14064,15050001,THE TIMES AMATEUR BOXING CLUB - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012956,1500.00,2011-08-11,245-2011-12-P5-500
14065,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107392570,561.30,2011-08-11,408-2011-12-P5-500
14066,15050001,METEORITES YOUTH BASEBALL SOFTBALL - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012951,558.00,2011-08-11,409-2011-12-P5-500
14067,15050001,YMCA LONDON SOUTHWEST - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012955,945.00,2011-08-11,333-2011-12-P5-500
14068,10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5107401483,551.75,2011-08-11,411-2011-12-P5-500
14069,15050001,JOHN CARROLL - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012949,1060.00,2011-08-11,298-2011-12-P5-500
14070,15050001,METROPOLITAN HOUSING TRUST - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012961,550.00,2011-08-11,413-2011-12-P5-500
14071,10008788,PARK COMMUNICATIONS LTD,533000,PRINTING,5107396267,14495.00,2011-08-11,64-2011-12-P5-500
14072,15050001,PRO-ACTIVE WEST LONDON CO BRUNEL UN - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012960,18000.00,2011-08-11,54-2011-12-P5-500
14073,15050001,WEST LONDON SHARKS - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012952,1065.00,2011-08-11,297-2011-12-P5-500
14074,15050001,LEYTON ORIENT COMMUNITY SPORTS PROG - FREESPORT GRANT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900012950,1500.00,2011-08-11,243-2011-12-P5-500
14075,10014764,VOLTERRA PARTNERS LLP,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107400955,4975.00,2011-08-11,111-2011-12-P5-500
14076,10018084,RADIAN6 TECHNOLOGIES UK LIMITED,536300,COMPUTER HARDWARE,5107359441,828.00,2011-08-11,349-2011-12-P5-500
14077,10018084,RADIAN6 TECHNOLOGIES UK LIMITED,536300,COMPUTER HARDWARE,5107380994,828.00,2011-08-11,350-2011-12-P5-500
14078,10020735,NERUBY CONSULTING SERVICES LTD,536300,COMPUTER HARDWARE,5107400953,4000.00,2011-08-14,125-2011-12-P5-500
14079,15050001,HOF DISPLAY SOLUTIONS,533000,PRINTING,1900012966,1508.00,2011-08-14,192-2011-12-P5-500
14080,13002088,MITIE T.F. MANAGEMENT LTD,510000,BUILDING MAINTENANCE & REPAIRS,5107402431,12124.44,2011-08-14,69-2011-12-P5-500
14081,10016705,BT,535000,"TELEPHONE LINE RENT, CALLS & EQUIPMENT",1900012857,1174.55,2011-08-14,283-2011-12-P5-500
14082,13002088,MITIE T.F. MANAGEMENT LTD,510000,BUILDING MAINTENANCE & REPAIRS,5107402502,12124.44,2011-08-14,70-2011-12-P5-500
14083,10016637,AGRIPA SOLUTIONS LTD,540000,ADVERTISING,5107387485,2800.00,2011-08-14,149-2011-12-P5-500
14084,10020648,CONSOL PARTNERS LTD,502000,AGENCY STAFF,5107402684,1525.00,2011-08-14,188-2011-12-P5-500
14085,10020648,CONSOL PARTNERS LTD,502000,AGENCY STAFF,5107402685,1525.00,2011-08-14,189-2011-12-P5-500
14086,10020648,CONSOL PARTNERS LTD,502000,AGENCY STAFF,5107402686,1525.00,2011-08-14,190-2011-12-P5-500
14087,15500130,LONDON BOROUGH OF LEWISHAM,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107391023,9768.54,2011-08-14,79-2011-12-P5-500
14088,10000063,VODAFONE CORPORATE LTD,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",5107400619,675.00,2011-08-14,389-2011-12-P5-500
14089,10017003,TIME OUT,540050,MARKETING SERVICES,5107387540,15200.00,2011-08-14,59-2011-12-P5-500
14090,10016797,DAVID BALL,510000,BUILDING MAINTENANCE & REPAIRS,5107402403,8841.63,2011-08-15,85-2011-12-P5-500
14091,14001063,CUK SECURITY SERVICES LTD,510025,SECURITY SERVICES (GUARDS),5107400837,32140.52,2011-08-15,32-2011-12-P5-500
14092,10016797,DAVID BALL,510000,BUILDING MAINTENANCE & REPAIRS,5107402404,9129.71,2011-08-15,81-2011-12-P5-500
14093,10017470,COMPUTACENTER,536200,COMPUTER SOFTWARE,5107388514,8560.72,2011-08-15,87-2011-12-P5-500
14094,10016849,EXPERIENCECO,540110,MARKETING EXHIBITIONS & EVENTS,5107404087,715.00,2011-08-15,380-2011-12-P5-500
14095,10002247,COI COMMUNICATIONS,540110,MARKETING EXHIBITIONS & EVENTS,5107388461,50000.00,2011-08-15,20-2011-12-P5-500
14096,10002247,COI COMMUNICATIONS,540110,MARKETING EXHIBITIONS & EVENTS,5107388460,14500.00,2011-08-15,63-2011-12-P5-500
14097,10016849,EXPERIENCECO,540110,MARKETING EXHIBITIONS & EVENTS,5107404086,8515.00,2011-08-15,88-2011-12-P5-500
14098,10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5107320015,950.92,2011-08-15,332-2011-12-P5-500
14099,10017495,GREENWICH & DOCKLANDS FESTIVALS,540110,MARKETING EXHIBITIONS & EVENTS,5107400256,17500.00,2011-08-15,56-2011-12-P5-500
14100,10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5107386603,3660.99,2011-08-15,132-2011-12-P5-500
14101,10017731,LYNX SECURITY SERVICES,502000,AGENCY STAFF,5107401273,1090.98,2011-08-15,294-2011-12-P5-500
14102,15500401,LONDON BOROUGH OF SOUTHWARK,510050,PROPERTY SERVICE CHARGES,1900012972,44310.00,2011-08-15,24-2011-12-P5-500
14103,10017232,NORLAND MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5107376695,38751.75,2011-08-15,26-2011-12-P5-500
14104,10020884,INTERACTIVE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107401401,24995.00,2011-08-15,41-2011-12-P5-500
14105,10020770,LAND IN FOCUS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107400325,3000.00,2011-08-15,145-2011-12-P5-500
14106,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107403091,2465.02,2011-08-15,156-2011-12-P5-500
14107,10020654,S&J CONSULTING LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107404143,5062.50,2011-08-15,104-2011-12-P5-500
14108,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107402912,2400.20,2011-08-15,157-2011-12-P5-500
14109,10020071,PARKRUN LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107393400,13623.00,2011-08-15,66-2011-12-P5-500
14110,10004788,TRADE WINDS,540110,MARKETING EXHIBITIONS & EVENTS,5107397079,523.00,2011-08-15,418-2011-12-P5-500
14111,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107404605,756.05,2011-08-15,366-2011-12-P5-500
14112,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107404189,715.50,2011-08-15,379-2011-12-P5-500
14113,10017322,SERVOCA SECURE SOLUTIONS LIMITED,510025,SECURITY SERVICES (GUARDS),5107400840,1000.08,2011-08-15,317-2011-12-P5-500
14114,10020764,BROADWAY HOMELESSNESS AND SUPPORT,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107402293,125000.00,2011-08-15,12-2011-12-P5-500
14115,10009443,BT GLOBAL SERVICES,535000,"TELEPHONE LINE RENT, CALLS & EQUIPMENT",1900012971,8901.29,2011-08-16,84-2011-12-P5-500
14116,10020840,COIN STREET COMMUNITY BUILDERS,537100,EXTERNAL MEETING ROOM HIRE & EXPENSES,5107404909,1001.00,2011-08-16,316-2011-12-P5-500
14117,10017752,BADENOCH & CLARK LTD,502000,AGENCY STAFF,5107391352,1055.00,2011-08-16,302-2011-12-P5-500
14118,10020869,AMANDA DECKER,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107400393,1228.40,2011-08-16,278-2011-12-P5-500
14119,10018793,FOOTBALL FOUNDATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107391354,54124.99,2011-08-16,18-2011-12-P5-500
14120,10006084,HAYS ACCOUNTANCY PERSONNEL,502000,AGENCY STAFF,5107392697,752.40,2011-08-16,370-2011-12-P5-500
14121,14001122,PERTEMPS RECRUITMENT PARTNERSHIP,502000,AGENCY STAFF,5107396658,745.13,2011-08-16,376-2011-12-P5-500
14122,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107402836,1147.80,2011-08-16,286-2011-12-P5-500
14123,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107404764,2338.56,2011-08-16,159-2011-12-P5-500
14124,10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5107388464,952.50,2011-08-16,331-2011-12-P5-500
14125,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107392264,652.00,2011-08-16,392-2011-12-P5-500
14126,12000241,INNOVATIVE OUTPUT SOLUTIONS (LONDON,533000,PRINTING,5107391026,596.00,2011-08-16,403-2011-12-P5-500
14127,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107392420,548.00,2011-08-16,415-2011-12-P5-500
14128,10000112,GFK NOP LTD,543000,CORPORATE SUBSCRIPTIONS,5107388430,1800.00,2011-08-16,175-2011-12-P5-500
14129,14000545,MATCHTECH GROUP PLC,502000,AGENCY STAFF,5107393252,906.00,2011-08-16,338-2011-12-P5-500
14130,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107391724,872.95,2011-08-16,345-2011-12-P5-500
14131,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107402838,3048.27,2011-08-16,142-2011-12-P5-500
14132,10006783,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107396271,25000.00,2011-08-16,40-2011-12-P5-500
14133,10006450,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107400319,26097.00,2011-08-16,39-2011-12-P5-500
14134,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107404763,3101.80,2011-08-16,141-2011-12-P5-500
14135,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107391724,787.75,2011-08-16,357-2011-12-P5-500
14136,10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5107395155,767.25,2011-08-16,364-2011-12-P5-500
14137,10009732,OCS GROUP UK LIMITED T/A CANNON,531010,CATERERS SERVICE CHARGES,5107404762,4124.90,2011-08-16,121-2011-12-P5-500
14138,10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5107388465,1027.25,2011-08-16,311-2011-12-P5-500
14139,10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5107391838,754.43,2011-08-16,369-2011-12-P5-500
14140,10008830,BARBICAN CENTRE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107402986,-1648.16,2011-08-17,429-2011-12-P5-500
14141,10016705,BT,535250,MAINTENANCE OF TELECOMMUNICATIONS EQUIPMENT,1900012856,1244.12,2011-08-17,276-2011-12-P5-500
14142,10001119,INSIGHT DIRECT UK LIMITED,536300,COMPUTER HARDWARE,5107395978,27972.00,2011-08-17,36-2011-12-P5-500
14143,13000063,EDF ENERGY,510100,ELECTRICITY,1900012905,2073.96,2011-08-17,163-2011-12-P5-500
14144,10017252,ONE STOP WEDDING LTD,531010,CATERERS SERVICE CHARGES,5107405849,5183.57,2011-08-17,102-2011-12-P5-500
14145,10015757,TAYLORSON ASSOCIATES,504200,STAFF TRAINING,5107399652,993.00,2011-08-17,323-2011-12-P5-500
14146,10011291,SPM PRINT,533000,PRINTING,5107404911,1624.00,2011-08-17,182-2011-12-P5-500
14147,10011291,SPM PRINT,533000,PRINTING,5107369258,1520.00,2011-08-17,191-2011-12-P5-500
14148,13000063,EDF ENERGY,510100,ELECTRICITY,1900012904,20147.25,2011-08-17,47-2011-12-P5-500
14149,10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5107400632,3727.00,2011-08-18,131-2011-12-P5-500
14150,10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5107400633,5000.00,2011-08-18,107-2011-12-P5-500
14151,14001063,CUK SECURITY SERVICES LTD,510025,SECURITY SERVICES (GUARDS),5107402705,3440.79,2011-08-18,137-2011-12-P5-500
14152,10019667,AEG EUROPE,540110,MARKETING EXHIBITIONS & EVENTS,5107400618,1902.00,2011-08-18,173-2011-12-P5-500
14153,10017747,DEHAVILLAND,540700,PUBLIC AFFAIRS & MEDIA RELATIONS,5107405530,29000.00,2011-08-18,35-2011-12-P5-500
14154,10020414,SECURITY RISK MANAGEMENT LTD,536300,COMPUTER HARDWARE,5107406142,2500.00,2011-08-18,155-2011-12-P5-500
14155,13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5107393153,1626.75,2011-08-18,181-2011-12-P5-500
14156,13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5107393145,3835.00,2011-08-18,127-2011-12-P5-500
14157,10018550,INFO TECHNOLOGY SUPPLY LTD,536510,SOFTWARE MAINTENANCE,5107399593,3927.80,2011-08-18,126-2011-12-P5-500
14158,13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5107392861,4927.00,2011-08-18,113-2011-12-P5-500
14159,10017203,MISCO,536300,COMPUTER HARDWARE,5107406143,981.80,2011-08-18,324-2011-12-P5-500
14160,16000966,EPS51,540200,MARKETING DESIGN & ARTWORK,5107390406,550.00,2011-08-18,414-2011-12-P5-500
14161,13002088,MITIE T.F. MANAGEMENT LTD,510000,BUILDING MAINTENANCE & REPAIRS,5107402503,12124.44,2011-08-18,71-2011-12-P5-500
14162,13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5107393152,2081.00,2011-08-18,162-2011-12-P5-500
14163,10017131,THE TRAFALGAR HOTEL,520410,BUSINESS FARES,5107401396,500.00,2011-08-18,420-2011-12-P5-500
14164,10020795,TOMBOY FILMS LTD,540050,MARKETING SERVICES,5107405927,20100.00,2011-08-18,48-2011-12-P5-500
14165,10017638,AHREND LIMITED,530000,FURNITURE & EQUIPMENT,5107401505,5106.40,2011-08-21,100-2011-12-P6-500
14166,13001309,SENATOR INTERNATIONAL LTD,530000,FURNITURE & EQUIPMENT,5107392770,10218.00,2011-08-21,66-2011-12-P6-500
14167,10020631,POET IN THE CITY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107406163,5000.00,2011-08-21,101-2011-12-P6-500
14168,10016637,AGRIPA SOLUTIONS LTD,540510,PUBLICATIONS & PUBLICITY MATERIAL,5107398163,2827.50,2011-08-22,130-2011-12-P6-500
14169,15050001,CARBON CREDENTIALS ENERGY LTD,510100,ELECTRICITY,1900013015,2250.00,2011-08-22,142-2011-12-P6-500
14170,10016637,AGRIPA SOLUTIONS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107398171,7181.82,2011-08-22,86-2011-12-P6-500
14171,10015669,JW CREATIVE DESIGN LIMITED,540200,MARKETING DESIGN & ARTWORK,5107398117,590.00,2011-08-22,257-2011-12-P6-500
14172,14001063,CUK SECURITY SERVICES LTD,510025,SECURITY SERVICES (GUARDS),5107407023,3440.79,2011-08-22,118-2011-12-P6-500
14173,10020697,CIMEX MEDIA LTD,536300,COMPUTER HARDWARE,5107405848,1190.00,2011-08-22,189-2011-12-P6-500
14174,10020697,CIMEX MEDIA LTD,536300,COMPUTER HARDWARE,5107405847,11305.00,2011-08-22,63-2011-12-P6-500
14175,10016907,GROUNDWORK,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107407577,10376.00,2011-08-22,65-2011-12-P6-500
14176,10018793,FOOTBALL FOUNDATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5107400193,147215.98,2011-08-22,15-2011-12-P6-500
14177,15500017,LONDON DEVELOPMENT AGENCY,502010,SECONDED STAFF - NON GROUP,5107393144,-106467.56,2011-08-22,287-2011-12-P6-500
14178,15500017,LONDON DEVELOPMENT AGENCY,502010,SECONDED STAFF - NON GROUP,5107393144,141060.86,2011-08-22,16-2011-12-P6-500
14179,10020697,CIMEX MEDIA LTD,536300,COMPUTER HARDWARE,5107405846,1190.00,2011-08-22,188-2011-12-P6-500
14180,10020697,CIMEX MEDIA LTD,536300,COMPUTER HARDWARE,5107405845,11900.00,2011-08-22,62-2011-12-P6-500
14181,14001122,PERTEMPS RECRUITMENT PARTNERSHIP,502000,AGENCY STAFF,5107398167,745.13,2011-08-22,233-2011-12-P6-500
14182,10008788,PARK COMMUNICATIONS LTD,540510,PUBLICATIONS & PUBLICITY MATERIAL,5107406264,1931.00,2011-08-22,149-2011-12-P6-500
14183,10020817,SPEDIAN LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107399954,2700.00,2011-08-22,132-2011-12-P6-500
14184,11000026,ROYAL MAIL,540600,MARKETING & ECONOMIC RESEARCH,5107332769,1121.74,2011-08-22,192-2011-12-P6-500
14185,11000026,ROYAL MAIL,540600,MARKETING & ECONOMIC RESEARCH,5107332769,722.00,2011-08-22,238-2011-12-P6-500
14186,10017690,MEDIAEDGE:CIA UK LTD,540510,PUBLICATIONS & PUBLICITY MATERIAL,5107406890,2633.83,2011-08-22,135-2011-12-P6-500
14187,10017313,SECTOR TREASURY SERVICES LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107409002,10188.75,2011-08-22,67-2011-12-P6-500
14188,10008788,PARK COMMUNICATIONS LTD,540510,PUBLICATIONS & PUBLICITY MATERIAL,5107405929,1930.00,2011-08-22,150-2011-12-P6-500
14189,10017232,NORLAND MANAGED SERVICES LIMITED,530010,EQUIPMENT REPAIRS & MAINTENANCE,5107393010,1389.74,2011-08-22,174-2011-12-P6-500
14190,10017313,SECTOR TREASURY SERVICES LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107220894,-6763.34,2011-08-22,284-2011-12-P6-500
14191,10017232,NORLAND MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5107393009,5758.90,2011-08-22,95-2011-12-P6-500
14192,10017313,SECTOR TREASURY SERVICES LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107220895,2700.83,2011-08-22,131-2011-12-P6-500
14193,10017313,SECTOR TREASURY SERVICES LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107187668,2100.00,2011-08-22,143-2011-12-P6-500
14194,10016743,CATHERINE JONES,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107405812,3000.00,2011-08-23,125-2011-12-P6-500
14195,10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5107398119,8369.00,2011-08-23,77-2011-12-P6-500
14196,10016640,ALL CLEAN GROUP,510000,BUILDING MAINTENANCE & REPAIRS,5107398158,12311.06,2011-08-23,60-2011-12-P6-500
14197,10018146,EC HARRIS LLP,510000,BUILDING MAINTENANCE & REPAIRS,5107397746,4801.00,2011-08-23,105-2011-12-P6-500
14198,12002386,CYCLE SYSTEMS LTD,520000,VEHICLE REPAIRS & MAINTENANCE,5107391833,1440.00,2011-08-23,169-2011-12-P6-500
14199,10017470,COMPUTACENTER,536300,COMPUTER HARDWARE,5107395881,8301.75,2011-08-23,78-2011-12-P6-500
14200,12002386,CYCLE SYSTEMS LTD,520000,VEHICLE REPAIRS & MAINTENANCE,5107392696,1440.00,2011-08-23,170-2011-12-P6-500
14201,10002247,COI COMMUNICATIONS,542000,MANAGEMENT & SUPPORT CONSULTANCY,5107393851,18100.00,2011-08-23,52-2011-12-P6-500
14202,10016668,ATIYA HASSAN,540110,MARKETING EXHIBITIONS & EVENTS,5107407073,1250.00,2011-08-23,184-2011-12-P6-500
14203,10017752,BADENOCH & CLARK LTD,502000,AGENCY STAFF,5107393849,1055.00,2011-08-23,197-2011-12-P6-500
14204,10017495,GREENWICH & DOCKLANDS FESTIVALS,540110,MARKETING EXHIBITIONS & EVENTS,5107405667,45000.00,2011-08-23,28-2011-12-P6-500
14205,10003560,EVERSHEDS,542300,LEGAL FEES,5107406402,5202.66,2011-08-23,99-2011-12-P6-500
